                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.291,                 6.2334,                0.52361,                 1.5969,                 1.2002,                0.99332,                    0.9,                0.96349,                0.66276,                 0.2065,                   0.15,                0.05372,                0.01074,                 1.1271,                 5.9742,                0.20274,                0.81179,                 1.0099,                 0.0002,                 0.0002,                 0.0002
                      2,                 1.1274,                 4.8049,                0.27835,                0.80843,                 1.0535,                      1,                0.94086,                0.98346,                0.67669,                0.42564,                   0.35,                0.25023,                0.02561,                 1.0831,                 5.8027,                 0.1867,                 0.7284,                0.95646,             0.00041584,             0.00041584,             0.00041584
                      3,                 1.1066,                  4.551,                0.28136,                0.76224,                 1.0146,                0.75148,                   0.95,                0.84238,                0.59227,                0.04181,                   0.05,                0.00996,                  0.001,                 1.1769,                 6.3194,                0.22279,                0.83056,                  1.076,             0.00062733,             0.00062733,             0.00062733
                      4,                 1.0905,                 4.3361,                0.26562,                0.74329,                 1.0406,                0.94539,                      1,                0.98786,                  0.726,                0.06604,                   0.05,                 0.0092,                0.00092,                0.99531,                 5.9657,                0.17834,                0.70558,                 1.0828,             0.00083446,             0.00083446,             0.00083446
                      5,                0.99794,                 4.0765,                0.27068,                0.75628,                0.99967,                0.86721,                0.98013,                0.94862,                0.69883,                      0,                      0,                      0,                      0,                0.97068,                 6.9208,                0.17072,                0.78103,                0.94775,              0.0010372,              0.0010372,              0.0010372
                      6,                  1.038,                 4.2014,                0.24931,                0.73416,                 1.0027,                0.98655,                    0.9,                0.98196,                0.65719,                0.43685,                   0.05,                0.05132,                0.00513,                 1.0614,                 5.5159,                0.16253,                0.83699,                 1.0145,              0.0012357,              0.0012357,              0.0012357
                      7,                 1.0041,                 4.1623,                0.27223,                0.73878,                 1.0122,                0.90506,                      1,                0.96211,                0.64765,                0.26375,                   0.05,                 0.0285,                0.00855,                0.97643,                 6.2669,                0.17407,                0.75264,                0.94179,              0.0014297,              0.0014297,              0.0014297
                      8,                  1.018,                   4.02,                0.26576,                0.71585,                0.98116,                0.90521,                      1,                0.97833,                0.68879,                0.24595,                   0.15,                0.07827,                0.00993,                 1.0657,                 6.4628,                0.19697,                0.75243,                 1.1108,              0.0016194,              0.0016194,              0.0016194
                      9,                 1.0373,                 4.1154,                0.26071,                0.70925,                0.99941,                      1,                0.74351,                0.83953,                0.51381,                0.20065,                    0.1,                 0.0274,                0.00274,                 1.2886,                 6.4806,                 0.2087,                 1.1537,                 1.2052,              0.0018048,              0.0018048,              0.0018048
                     10,                 1.0292,                 4.1689,                 0.2701,                0.71509,                 0.9972,                0.97443,                   0.55,                0.55793,                0.43886,                      0,                      0,                      0,                      0,                 1.4606,                 7.9007,                 0.3841,                 1.5001,                 1.4823,              0.0018218,              0.0018218,              0.0018218
                     11,                 1.0178,                 3.8169,                0.26058,                0.70009,                0.99162,                0.93587,                    0.5,                0.60599,                 0.4282,                      0,                      0,                      0,                      0,                 1.3194,                 7.4772,                0.25342,                 1.2117,                 1.3128,              0.0018218,              0.0018218,              0.0018218
                     12,                0.99985,                 3.9523,                0.25748,                0.68425,                0.99589,                0.68443,                   0.55,                0.60758,                0.33797,                      0,                      0,                      0,                      0,                 1.7948,                 7.7628,                0.22479,                 1.4956,                 1.6381,               0.001802,               0.001802,               0.001802
                     13,                0.94436,                  3.658,                0.23636,                0.68205,                0.97686,                0.64836,                0.73793,                 0.6703,                0.30046,                0.11526,                    0.1,                0.01769,                0.00177,                 2.0981,                 7.4972,                 0.1989,                 1.3744,                 1.6465,              0.0017822,              0.0017822,              0.0017822
                     14,                0.94193,                 3.4481,                0.24251,                0.64196,                0.96826,                  0.913,                   0.75,                0.90534,                0.59631,                0.37656,                   0.25,                0.11288,                0.01746,                 1.0827,                 5.8918,                  0.182,                0.88198,                 1.1358,              0.0017624,              0.0017624,              0.0017624
                     15,                0.97387,                  3.655,                0.25067,                0.69241,                0.98062,                 0.9537,                   0.95,                0.99262,                 0.7483,                0.36974,                    0.3,                0.14303,                0.01809,                0.91693,                 5.9091,                0.18843,                0.66618,                 1.0641,              0.0017426,              0.0017426,              0.0017426
                     16,                0.86597,                 3.4735,                0.23816,                0.62891,                0.94403,                0.90305,                0.93202,                0.93335,                0.70486,                0.56551,                   0.15,                0.19253,                0.03018,                0.96435,                 5.5064,                0.16627,                0.75655,                 1.0845,              0.0017228,              0.0017228,              0.0017228
                     17,                0.88955,                 3.4973,                0.23018,                0.64258,                0.95994,                      1,                0.94127,                0.99045,                0.69443,                0.31969,                   0.25,                0.12483,                0.02344,                0.95308,                 5.5751,                0.16315,                0.69696,                 1.0941,               0.001703,               0.001703,               0.001703
                     18,                0.88354,                 3.2314,                0.23485,                0.62662,                 0.9565,                      1,                0.94436,                0.98848,                0.71779,                0.48014,                   0.35,                0.27523,                0.03717,                 1.0111,                 5.7245,                0.17371,                0.67037,                 1.1383,              0.0016832,              0.0016832,              0.0016832
                     19,                0.87193,                 3.3698,                 0.2326,                0.62193,                0.94939,                0.97979,                   0.95,                0.99045,                0.71045,                0.41238,                   0.25,                0.14434,                0.01838,                0.99461,                 5.6737,                0.17613,                0.57438,                 1.0824,              0.0016634,              0.0016634,              0.0016634
                     20,                0.87366,                 3.4524,                0.22668,                0.62201,                0.95413,                0.94281,                   0.95,                0.98795,                0.70305,                0.38569,                   0.25,                0.13904,                0.01479,                0.96996,                 5.8924,                0.19029,                0.61687,                 1.0898,              0.0016436,              0.0016436,              0.0016436
                     21,                0.86668,                 3.3658,                0.22571,                0.62743,                0.94764,                0.95184,                0.98854,                0.98786,                0.71121,                0.24721,                   0.25,                0.11307,                0.01131,                0.93327,                 5.7647,                0.19764,                0.59503,                 1.0831,              0.0016238,              0.0016238,              0.0016238
                     22,                0.87615,                 3.4641,                0.23393,                0.61524,                0.94265,                0.95212,                0.99461,                0.99024,                0.72168,                0.14856,                   0.15,                0.03681,                0.00656,                 0.9325,                 5.4456,                0.19179,                0.62816,                 1.1063,               0.001604,               0.001604,               0.001604
                     23,                0.90192,                 3.3986,                0.24756,                 0.6236,                 0.9586,                0.95232,                0.99874,                0.98786,                 0.7171,                0.14627,                   0.15,                0.03547,                 0.0044,                 0.9868,                  5.538,                0.17972,                0.64386,                 1.0923,              0.0015842,              0.0015842,              0.0015842
                     24,                0.84803,                 3.1933,                0.22161,                   0.59,                0.93914,                0.90599,                0.96422,                0.99045,                0.72141,                0.17274,                   0.15,                0.06295,                0.00786,                0.94277,                 5.8411,                0.19136,                0.61682,                 1.1134,              0.0015644,              0.0015644,              0.0015644
                     25,                 0.8387,                 3.1592,                 0.2357,                0.58183,                0.93376,                0.90812,                      1,                0.99262,                 0.7106,                0.34371,                    0.3,                0.15976,                0.02694,                 1.0098,                 5.6303,                0.18829,                0.61671,                 1.1127,              0.0015446,              0.0015446,              0.0015446
                     26,                0.82977,                 3.2233,                0.22297,                   0.58,                0.92677,                0.85801,                   0.95,                0.90082,                0.66716,                0.29072,                   0.25,                0.15087,                0.02016,                 1.0442,                  5.657,                0.20225,                 0.5696,                 1.1186,              0.0015248,              0.0015248,              0.0015248
                     27,                0.80249,                 3.1761,                0.23324,                0.55859,                0.93158,                      1,                0.94424,                0.99045,                0.73419,                0.10745,                    0.1,                0.03484,                0.01055,                0.95146,                 5.8914,                0.23718,                0.53845,                 1.0583,               0.001505,               0.001505,               0.001505
                     28,                 0.7936,                 3.0102,                0.21702,                0.55779,                0.92402,                0.86263,                   0.95,                0.94612,                0.79753,                0.45897,                    0.4,                0.28192,                0.04392,                0.91128,                  5.194,                0.16379,                0.61708,                  1.037,              0.0014852,              0.0014852,              0.0014852
                     29,                0.78513,                 2.8971,                0.21139,                0.57584,                0.91375,                0.88958,                   0.95,                0.93266,                0.80303,                0.57877,                    0.5,                0.43645,                0.06743,                0.83836,                 4.8968,                0.16179,                0.56144,                 1.0122,              0.0014654,              0.0014654,              0.0014654
                     30,                0.81022,                 3.1067,                0.22574,                0.58762,                0.94043,                0.85654,                   0.95,                0.92445,                0.75865,                0.54524,                   0.45,                0.39587,                0.04917,                0.87947,                 4.9874,                0.16609,                0.60509,                 1.0204,              0.0014456,              0.0014456,              0.0014456
                     31,                0.80933,                 2.9004,                0.20911,                0.57079,                0.93911,                0.94097,                      1,                0.98548,                0.71813,                0.77476,                   0.55,                0.52058,                0.12118,                0.88017,                 4.7488,                0.15149,                0.59906,                 1.0394,              0.0014258,              0.0014258,              0.0014258
                     32,                0.77011,                 2.8208,                0.21386,                0.56001,                0.91319,                0.93208,                      1,                0.98548,                0.72189,                0.61367,                   0.45,                0.40007,                0.07545,                0.90758,                 5.0284,                0.14635,                0.60633,                 1.0899,               0.001406,               0.001406,               0.001406
                     33,                0.72941,                 2.7372,                0.21669,                0.53432,                0.90967,                0.93881,                      1,                 0.9831,                 0.6873,                 0.8392,                   0.65,                0.61528,                0.16009,                0.88204,                 4.6388,                 0.1366,                0.58264,                 1.0566,              0.0013862,              0.0013862,              0.0013862
                     34,                0.76274,                 2.7313,                0.20594,                0.56993,                0.91534,                0.93999,                   0.95,                0.97667,                0.74279,                0.71743,                   0.55,                0.51357,                0.09151,                0.89296,                 4.8338,                 0.1424,                0.60808,                  1.063,              0.0013664,              0.0013664,              0.0013664
                     35,                0.78119,                 2.7579,                0.21239,                 0.5626,                0.94023,                0.93504,                    0.9,                  0.921,                0.73294,                0.77689,                    0.6,                0.60297,                0.12811,                0.87005,                   4.36,                0.13204,                0.67948,                 1.0995,              0.0013466,              0.0013466,              0.0013466
                     36,                0.76493,                 2.7722,                0.21258,                0.54826,                0.89839,                0.95027,                0.95569,                0.99262,                0.64759,                0.87228,                    0.5,                0.52339,                0.09584,                 1.1898,                 4.8972,                0.14046,                0.70731,                 1.1681,              0.0013268,              0.0013268,              0.0013268
                     37,                0.70383,                  2.746,                0.21559,                0.51886,                0.89327,                0.95197,                0.99141,                0.99024,                0.72415,                0.67809,                   0.45,                0.50406,                0.09652,                0.86831,                  4.747,                0.15774,                0.56347,                 1.0908,               0.001307,               0.001307,               0.001307
                     38,                0.77395,                 2.9576,                0.21338,                0.54762,                 0.9169,                0.90413,                0.94338,                0.92905,                 0.7197,                 0.4806,                   0.35,                0.25667,                0.03876,                0.87299,                 5.2435,                0.16525,                0.58243,                 1.0632,              0.0012872,              0.0012872,              0.0012872
